bulletin_number,date,cumulative_positive_cases,active_cases,recovered_cases,total_deaths,new_cases,mortality_rate,tests_done,Mean_cases_history
70,01-Jun-20,386,176,198,12,28,3.11,1531,-
71,02-Jun-20,398,152,234,12,12,3.02,2060,-
72,03-Jun-20,417,145,260,12,19,2.88,2180,-
73,04-Jun-20,428,151,263,14,11,3.27,2228,-
74,05-Jun-20,441,160,267,14,13,3.17,1664,-
75,06-Jun-20,459,167,278,14,18,3.05,1400,-
76,07-Jun-20,483,181,286,16,24,3.31,1390,-
77,08-Jun-20,501,178,304,19,18,3.79,1307,-
78,09-Jun-20,530,206,304,20,29,3.77,1890,-
79,10-Jun-20,572,242,308,22,42,3.85,2107,449.22
80,11-Jun-20,589,255,311,23,17,3.9,2091,469.89
81,12-Jun-20,625,286,311,28,36,4.48,1890,491.11
82,13-Jun-20,654,305,319,30,29,4.59,2069,514.22
83,14-Jun-20,697,323,338,36,43,5.16,772,539.33
84,15-Jun-20,732,353,342,37,35,5.05,1763,567.78
85,16-Jun-20,779,396,342,41,47,5.26,2199,598.11
86,17-Jun-20,834,417,369,48,55,5.76,2619,631
87,18-Jun-20,851,423,378,50,17,5.88,2086,668
88,19-Jun-20,989,552,378,59,138,5.97,2501,703.67
89,20-Jun-20,1083,643,378,62,94,5.72,2827,750
90,21-Jun-20,1279,643,572,64,196,5,1834,804.89
91,22-Jun-20,1405,962,378,65,126,4.63,2015,877.56
92,23-Jun-20,1512,1024,415,73,107,4.83,3307,961
93,24-Jun-20,1685,1182,428,75,173,4.45,3944,1051.56
94,25-Jun-20,1798,1287,433,78,113,4.34,3633,1157.44
95,26-Jun-20,1942,1287,577,78,144,4.02,3586,1270.67
96,27-Jun-20,2538,2024,433,81,596,3.19,4559,1393.78
97,28-Jun-20,3321,2807,433,81,783,2.44,1173,1581.22
98,29-Jun-20,4059,3545,433,81,738,2,3595,1840.33
99,30-Jun-20,4555,3917,543,95,496,2.09,4773,2171
100,01-Jul-20,5290,4652,543,95,735,1.8,4324,2535
101,02-Jul-20,6179,5505,573,101,889,1.63,4938,2966.67
102,03-Jul-20,7173,6297,770,106,994,1.48,4620,3485.22
103,04-Jul-20,8345,7251,965,129,1172,1.55,5064,4095
104,05-Jul-20,9580,8167,1267,146,1235,1.52,3485,4822.44
105,06-Jul-20,10561,8860,1545,156,981,1.48,5043,5671.11
106,07-Jul-20,11361,9395,1810,156,800,1.37,5115,6562.56
107,08-Jul-20,12509,10103,2228,178,1148,1.42,3196,7455.89
